11111,11111
0,0
82484,82100
134946,105212
138642,105202
138693,105229
138830,105247
138846,105271
138821,105246
138783,105195
138834,105237
138861,105238
138910,105258
138872,105262
138752,105164
138808,105222
138796,105195
138803,105178
138743,105189
138590,105096
138610,105110
138601,105117
138564,105081
138503,105047
138361,105052
138345,105028
138374,105018
138308,105000
138323,105001
138187,104976
138170,104982
138259,104963
138258,104946
138236,104976
138075,104899
138156,104941
138206,104991
138195,104937
138178,104932
138105,104960
138148,104960
138247,104987
138224,104979
138214,104933
138196,104950
138230,104983
138319,104984
138324,105009
138325,104967
138285,104981
138352,105037
138415,105042
138477,105050
138453,105052
138391,105026
138543,105058
138573,105121
138608,105099
138634,105121
138580,105084
138709,105120
138760,105160
138777,105120
138827,105141
138749,105152
138882,105199
138897,105206
138933,105188
138984,105205
138952,105222
139069,105244
139112,105280
139147,105246
139202,105275
139167,105255
139269,105322
139308,105332
139368,105347
139328,105341
139316,105317
139402,105394
139482,105408
139450,105372
139491,105340
139441,105408
139546,105403
139606,105404
139631,105394
139606,105453
139563,105422
139715,105438
139755,105498
139738,105490
139726,105425
139677,105401
139713,105435
139693,105437
139555,105375
139424,105285
139184,105218
139064,105147
138849,105091
138571,104996
138304,104870
138015,104805
137887,104763
137764,104725
137625,104714
137440,104597
137335,104581
137324,104606
137298,104519
137251,104525
137120,104515
137066,104506
137170,104519
137116,104574
137117,104499
137106,104515
137026,104494
137164,104514
137175,104560
137178,104543
137119,104521
137105,104544
137227,104579
138250,104907
137982,104768
138010,104778
138011,104777
138001,104785
138041,104810
138157,104832
138664,105024
138699,104985
138658,105018
138743,105046
138797,105036
139097,105188
139181,105170
139174,105157
139223,105168
139164,105174
139214,105191
139242,105158
139201,105161
139082,105088
138915,105064
138832,105054
138722,104928
138529,104882
138212,104798
137971,104722
137764,104625
137651,104609
137508,104522
137287,104509
137150,104456
137146,104472
137050,104410
136965,104324
136872,104336
136790,104304
136762,104323
136777,104284
136749,104248
136673,104286
136614,104268
136647,104280
136709,104284
136700,104239
136598,104273
136556,104256
136682,104294
136718,104262
136712,104280
136639,104294
136627,104288
136773,104297
136807,104330
136753,104315
136770,104300
136764,104313
136913,104321
136946,104359
136928,104375
136895,104329
136937,104361
137019,104394
137117,104397
137137,104444
137050,104385
137112,104418
137212,104450
137305,104464
137306,104526
137282,104467
137332,104484
137454,104536
137539,104544
137504,104588
137536,104567
137551,104593
137649,104618
137739,104630
137732,104638
137691,104592
137728,104664
137797,104680
137806,104648
137788,104639
137709,104619
137736,104596
137814,104649
137810,104651
137712,104646
137707,104594
137666,104602
137741,104604
137751,104611
137659,104625
137600,104544
137597,104580
137622,104590
137621,104578
137595,104535
137471,104565
137476,104583
137525,104553
137586,104577
137528,104571
137490,104514
137493,104563
137546,104567
137544,104568
137555,104562
137460,104526
137572,104575
137637,104567
137659,104587
137623,104581
137582,104551
137637,104594
137744,104635
137735,104613
137807,104611
137727,104603
137780,104621
